档案管理软件功能清单
===== 表格 1 =====
序号 | 名称 | 功能组成 | 详细描述
1 | 个人中心 | 我的首页 | 密码修改
1 | 个人中心 | 我的收藏 | 收藏列表管理、收藏信息阅读
1 | 个人中心 | 我的申请 | 申请信息
1 | 个人中心 | 我的办理 | 我的待办、我的已办、访问历史、消息提醒、暂存架、用户反馈
2 | 安全管理 子系统 | 原文校验 | 每份电子文件赋予唯一的MD5码，对系统中的电子文件进行唯一值追溯
2 | 安全管理 子系统 | 水印设置 | 支持静态水印、动态水印、图片水印，防拍屏
2 | 安全管理 子系统 | 安全设置 | 三级安全设置模式
3 | 收集整理 子系统 | 文件收集 | 文件收集：条目添加、修改、删除、导入、导出、原文增加、修改删除、批量挂接
3 | 收集整理 子系统 | 文件收集 | 文件整理：整理标引、立卷整理、档号整理、档案装盒、综合排序、报表管理、数据回收站
3 | 收集整理 子系统 | 归档、进馆申请 | 文件预归档完成提交档案管理员审核进行归档流程处理
3 | 收集整理 子系统 | 导入数据接口 | 条目导入、合规校验
3 | 收集整理 子系统 | 原文管理 | 原文管理、批量上传、批量下载、批量挂接
3 | 收集整理 子系统 | 数据审核 | 分组查看、数据接收、检索、高级检索、查看明细、查看原文、接收数据
4 | 档案管理 子系统 | 档案管理 | 条目管理、原文管理、整理标引、立卷整理、档号整理、综合排序、报表管理、档案装盒、数据查看、数据回收站
4 | 档案管理 子系统 | 档案管理 | 数据计算、日志查看
4 | 档案管理 子系统 | 档案统计 | 常规统计：归档率统计、馆/室藏统计、借阅统计、销毁统计 统计形式：图表统计、柱状图统计、饼状图统计、折线图统计
4 | 档案管理 子系统 | 档案统计 | 精准统计：一键按年度、保管期限等维度统计盒数、件数、页数、电子文件大小
4 | 档案管理 子系统 | 档案销毁 | 对可以销毁的档案进行档案销毁库管理、销毁流程管理
4 | 档案管理 子系统 | 利用台账 | 对档案电子借阅、实体借阅等进行台账管理
4 | 档案管理 子系统 | 档案检索 | 模糊检索（支持在结果中二次检索）
4 | 档案管理 子系统 | 高级检索 | 跨字段精确检索（按需拼接出自己需要的检索条件）
4 | 档案管理 子系统 | 批量修改 | 类电子表格批量修改模式（按内容替换、按位置替换、合并著录项、序号自生成、添加前缀、添加后缀）
4 | 档案管理 子系统 | 批量删除 | 按照检索条件对条目或者电子文件进行批量删除操作
5 | 利用 子系统 | 档案检索 | 条目检索：目录检索、高级检索
5 | 利用 子系统 | 档案检索 | 全文检索：对可以进行全文检索的文件进行文件里面内容检索（加入收藏、档案查阅、添加暂存、条目详情）
5 | 利用 子系统 | 档案检索 | 结果展示：检索范围展示、检索计时、检索结果缩略图展示、著录项信息展示、所在全宗展示、所在档案库展示、原文名称展示、原文内容展示 结果处理：二次检索、加入收藏、借阅、添加暂存架
5 | 利用 子系统 | 文件在线阅读系统 | 免插件安装，查看、打印、放大、缩小、全屏查看、下一页、上一页、检索；支持mp3,wav,mp4,flv等声像文件格式在线播放
5 | 利用 子系统 | 档案利用 | 电子借阅流程申请/审批、实体借阅流程申请/审批、协查流程申请/审批
5 | 利用 子系统 | 档案编研 | 编研大纲及条目管理、编研模板维护、模板设计功能，实现各种编研主题内容的筛选、在线编辑、查看。
5 | 利用 子系统 | 借阅登记 | 电子借阅、实体借阅的登记操作
5 | 利用 子系统 | 归还登记 | 档案归还登记、档案续借
6 | 工作协同 子系统 | 工作流定制 | 图形化工作流定制、支持电子借阅/实体借阅/档案协查/档案鉴定流程、支持流程节点定义、支持流程中变量的定义
6 | 工作协同 子系统 | 工作流监控 | 图形化流程跟踪、自动播放流程进度、显示流程节点操作、强制终止流程、调整节点人员
7 | 系统管理(SYS) | 组织机构管理、用户管理、角色管理、全宗管理、同义词库管理、菜单管理、系统字段、系统参数管理、管理员列表、服务监控、定时任务、参数管理、系统日志、首页设置、重新注册、系统信息、档案库管理、档案模板管理、档案分类管理、词典管理 | 组织机构管理、用户管理、角色管理、全宗管理、同义词库管理、菜单管理、系统字段、系统参数管理、管理员列表、服务监控、定时任务、参数管理、系统日志、首页设置、重新注册、系统信息、档案库管理、档案模板管理、档案分类管理、词典管理
8 | 全文检索 | 全文检索 | 对可检索的电子文件进行全文检索，支持双层PDF、word、电子表格、ppt等矢量电子文件进行全文检索
9 | 档案追溯 | 档案追溯 | 以档案条目为维度对档案的全生命周期进行追溯管理
10 | 大数据展示 | 大数据展示 | 以大屏方式展示档案门类利用率排行、利用量、单个档案率排行、档案利用人员利用档案排行、馆藏档案情况等
11 | PDF拆分 | PDF拆分 | 传统立卷的档案系统应支持需求方按卷统一扫描生成一份PDF文件，进行智能分析拆分PDF文件，自动进行卷内条目的批量拆分挂接。
12 | 借阅到期提醒 | 借阅到期提醒 | 实体档案借阅后，系统依据查借阅时效，到期未归还实体档案，自动触发双向提醒（档案管理员及查借阅人）
13 | 系统信息自定义 | 系统信息自定义 | 用户方可自由定义系统信息包含系统名称、类百度检索名称、首页、logo、登录页等
14 | 系统信息监控 | 系统信息监控 | 实时监测服务器CPU、硬盘、内存的使用情况，如出现超用情况会以预警色进行提醒
15 | OCR在线录入 | OCR自动录入 | 支持OCR在线录入，自动将文件题名、文号等著录信息提取
16 | 智能打码 | 智能打码 | 支持PDF文件的在线自动打页码
17 | 智能档号章 | 智能档号章 | 支持抓取档案信息进行智能打档号章
18 | 智能质检 | 智能质检 | 智能质检： 1、电子档案：分辨率、页数、空白页是否符合要求 2、条目质检：字段长度、文号格式、日期格式是否准确无误 3、条目与电子文件匹配质检 4、敏感词质检及标注 5、质检报告
19 | 档案脱敏（遮盖打印） | 档案脱敏（遮盖打印） | 可对半公开或含有敏感词汇档案进行遮挡后对外查借阅管理
20 | 四性检测 | 四性检测 | 对电子文件进行档案“四性”规范化检测，包括完整性、真实性、安全性、可用性。
21 | CAD格式上传预览 | CAD格式上传预览 | 支持CAD（DWG格式）图纸支持上传系统，并实现CAD（DWG格式）图纸的在线浏览与在线借阅
22 | 单点登录 | 单点登录 | 与集团统一身份认证平台集成，实现单点登录
23 | OA系统接口 | 与集团OA系统接口开发，实现文书类电子档案在线接收归档，预留数据中台文书电子档案归档接口 | 与集团OA系统接口开发，实现文书类电子档案在线接收归档，预留数据中台文书电子档案归档接口
24 | 库房系统对接 | 与档案库房管理系统进行对接，实现档案库房远程监测和管控 | 与档案库房管理系统进行对接，实现档案库房远程监测和管控
25 | 数据迁移 | 服务包含完成集团历史档案电子数据的整体迁移服务 | 服务包含完成集团历史档案电子数据的整体迁移服务
